Title,Company,Location,Reward,Link
This,is,kotlin,Jobs,24
시니어 백엔드 개발자 (Java/Kotlin),패스트파이브,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/171819
안드로이드앱(Kotlin) 개발자(병역특례_현역/보충역),넛지헬스케어(캐시워크),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/85839
[500억↑투자] Mobile App 안드로이드 (Android Kotlin) 개발자,스카이랩스(SkyLabs),경기 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/178642
안드로이드 주니어 개발자(Kotlin),티피씨인터넷,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/199461
Senior Back-end 개발자(Java/Kotlin),테이블매니저,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/166638
Backend Senior Engineer (Kotlin/Spring),코비그룹,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/135374
"백엔드(Python,Kotlin) 개발자 (1년 이상)",피플펀드컴퍼니(PeopleFundCompany),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/40457
Backend Engineer (Kotlin),코인원(coinone),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/171459
시니어 백엔드 개발자 (Java/Kotlin),패스트파이브,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/171819
안드로이드앱(Kotlin) 개발자(병역특례_현역/보충역),넛지헬스케어(캐시워크),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/85839
[500억↑투자] Mobile App 안드로이드 (Android Kotlin) 개발자,스카이랩스(SkyLabs),경기 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/178642
안드로이드 주니어 개발자(Kotlin),티피씨인터넷,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/199461
Senior Back-end 개발자(Java/Kotlin),테이블매니저,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/166638
Backend Senior Engineer (Kotlin/Spring),코비그룹,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/135374
"백엔드(Python,Kotlin) 개발자 (1년 이상)",피플펀드컴퍼니(PeopleFundCompany),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/40457
Backend Engineer (Kotlin),코인원(coinone),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/171459
Java/Kotlin 백엔드 서버 엔지니어,티비유,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/118264
"백엔드 개발자 (Kotlin/Spring, 3년차~15년차)",스팬딧(Spendit),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/100640
Backend Kotlin Developer (5년 이상),크몽(kmong),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/197273
백엔드(Kotlin) 개발자 (위피 재팬 스쿼드),엔라이즈(NRISE),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/43127
"AI 플랫폼 개발 및 운영 (JAVA, Kotlin 백엔드 개발)",디케이테크인,경기 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/197147
Java/Kotlin Backend Engineer (구매개발실),무신사,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/188378
Java/Kotlin Backend Engineer (상품전시개발실),무신사,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/189781
"Back-end 개발자(Java/Kotlin) 1년 이상, 산업기능요원 편입 가능",테이블매니저,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr/wd/166639
